smiles,Kode-1,Kode-2
CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-])NC(=O)[C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)[NH3+],C98216353,P156200222
C[C@@H](C(=O)[O-])NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2c[nH]c[nH+]2)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)C[NH2+]C,C98214853,P156200254
c1ccc(cc1)C[C@H](C(=O)[O-])NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CCCC[NH3+])NC(=O)[C@@H]3CCCN3C(=O)[C@@H](CCCNC(=[NH2+])N)N,C98216368,P156200338
C[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)[O-])NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CC(C)C)[NH3+],C85590033,P156201359
C[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)[O-])NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CC(C)C)[NH3+],C98216988,P156201611
C1C[C@H](N(C1)C(=O)[C@H](CSSC[C@@H](C(=O)[O-])N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]2CCC(=O)N2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N,C98216866,P156201871
CC(C)C[C@@H](C(=O)N[C@@H](CCSC)C(=O)N)N1CC[C@@H](C1=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCC[NH3+])[NH3+],C98216881,P156201942
CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)[O-])NC(=O)[C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)C[NH2+]C,C98229879,P156228038
CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)[O-])NC(=O)[C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)C[NH2+]C,C98229879,P156228039
C[C@@H](C(=O)N[C@@H](COP(=O)([O-])[O-])C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)[O-])NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CCCNC(=[NH2+])N)[NH3+],C98229981,P156228313
C[C@@H](C(=O)N[C@@H](CO[P@@](=O)(O)[O-])C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)[O-])NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](CC(C)C)[NH3+],C98229987,P156228334
CC(C)C[C@@H](C(=O)N[C@@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,C98216830,P156201859
CC(C)C[C@H](C(=O)N[C@@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,C98216831,P156201861
CC(C)C[C@@H](C(=O)N[C@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,C98216832,P156201863
CC(C)C[C@H](C(=O)N[C@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,C98216833,P156201865
c1cc(ccc1C[C@@H](C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@H](CC(=O)O)N)O,C98229772,P156227763
c1cc(ccc1C[C@@H](C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@H](CC(=O)[O-])[NH3+])O,C98229772,P156228076
CC[C@@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)[NH3+],C85889019,P134470543
CC[C@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)[NH3+],C85889027,P134470556
CC[C@@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)N,C85889019,P134471292
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,C97972906,P155591809
C[C@@H](C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)C[NH3+],C98216345,P156199904
CC(C)[C@@H](C(=O)N)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccc(cc2)O)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CO)NC(=O)C,C98216347,P156199906
CC(C)[C@@H](C(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccc(cc2)O)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CO)NC(=O)C,C98216349,P156199908
CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-])NC(=O)[C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)[NH3+],C98216353,P156199912
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)C(C)C,C98216396,P156200000
c1ccc(cc1)C[C@@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)[O-])NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCCN5C(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+],C98216399,P156200003
c1ccc(cc1)C[C@@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)[O-])NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCC[NH2+]5,C98216474,P156200112
C[C@@H](C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)CN,C98216345,P156200216
CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-])NC(=O)[C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)[NH3+],C98216353,P156200221
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4c[nH]cn4)NC(=O)C(C)C,C98216396,P156200244
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4c[nH+]c[nH]4)NC(=O)C(C)C,C98216396,P156200247
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4c[nH]cn4)NC(=O)C(C)C,C98216396,P156200249
CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-])NC(=O)[C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)N,C98216353,P156200335
CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-])NC(=O)[C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)N,C98216353,P156200336
c1ccc(cc1)C[C@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)[O-])NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCCN5C(=O)[C@@H](CCCNC(=[NH2+])N)N,C98216400,P156200358
c1ccc(cc1)C[C@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)[O-])NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCCN5,C98216475,P156200383
c1ccc2cc(ccc2c1)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],C98216301,P156200400
c1ccc2cc(ccc2c1)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],C98216303,P156200402
C1C[C@H](N(C1)C(=O)[C@H](CSSC[C@@H](C(=O)[O-])[NH3+])NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]2CCC(=O)N2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N,C98216866,P156201388
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,C98216835,P156201931
CC(C)C[C@@H](C(=O)NN)NC(=O)CNC(=O)[C@@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4c[nH]c[nH+]4)NC(=O)[C@@H]5CCC(=O)N5,C98220502,P156209468
CC(C)C[C@@H](C(=O)NN)NC(=O)CNC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4c[nH]c[nH+]4)NC(=O)[C@@H]5CCC(=O)N5,C98220504,P156209470
CC(C)C[C@@H](C(=O)NN)NC(=O)CNC(=O)[C@@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4cnc[nH]4)NC(=O)[C@@H]5CCC(=O)N5,C98220502,P156209745
CC(C)C[C@H](C(=O)NN)NC(=O)CNC(=O)[C@@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4cnc[nH]4)NC(=O)[C@@H]5CCC(=O)N5,C98220503,P156209747
CC(C)C[C@@H](C(=O)NN)NC(=O)CNC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4cnc[nH]4)NC(=O)[C@@H]5CCC(=O)N5,C98220504,P156209749
CC(C)C[C@H](C(=O)NN)NC(=O)CNC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4cnc[nH]4)NC(=O)[C@@H]5CCC(=O)N5,C98220505,P156209751
C[C@H](CCC(=O)N(CCCNC(=O)[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)CCCNC(=O)[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,C98222167,P156212746
CCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)N(C)CC(=O)N,C98224536,P156217389
CCCCCCCCCCCCC/C=C/C(=O)N[C@@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,C98229782,P156227777
CCCCCCCCCCCCC/C=C/C(=O)N[C@@H]1[C@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,C98229784,P156227779
CC(C)C[C@@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N1CCC[C@@H]1C(=O)NCC(=O)N)NC(=O)CNC(=O)[C@@H](Cc2ccc(cc2)O)NC(=O)[C@@H](CO)[NH3+],C04556734,P156227930
CC(C)C[C@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N1CCC[C@@H]1C(=O)NCC(=O)N)NC(=O)CNC(=O)[C@@H](Cc2ccc(cc2)O)NC(=O)[C@@H](CO)[NH3+],C04556735,P156227931
CC(C)C[C@@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N1CCC[C@@H]1C(=O)NCC(=O)N)NC(=O)CNC(=O)[C@@H](Cc2ccc(cc2)O)NC(=O)[C@@H](CO)N,C04556734,P156228044
CC[C@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)N,C85889027,P134471304
CC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,C97972906,P155591479
CC(=O)N[C@H](CC(=O)[O-])C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,C97972907,P155591480
CC(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,C97972907,P155591810
CC(C)[C@H](C(=O)N)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccc(cc2)O)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CO)NC(=O)C,C98216348,P156199907
CC(C)[C@H](C(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccc(cc2)O)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CO)NC(=O)C,C98216350,P156199909
c1ccc(cc1)C[C@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)[O-])NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCCN5C(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+],C98216400,P156200004
c1ccc(cc1)C[C@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)[O-])NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCC[NH2+]5,C98216475,P156200113
c1ccc2cc(ccc2c1)NC(=O)[C@@H](CCCC[NH3+])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],C98216300,P156200196
c1ccc2cc(ccc2c1)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],C98216301,P156200197
c1ccc2cc(ccc2c1)NC(=O)[C@@H](CCCC[NH3+])NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],C98216302,P156200198
c1ccc2cc(ccc2c1)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],C98216303,P156200199
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)C(C)C,C98216396,P156200243
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4c[nH+]c[nH]4)NC(=O)C(C)C,C98216396,P156200246
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)C(C)C,C98216396,P156200248
c1ccc(cc1)C[C@@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)[O-])NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCCN5C(=O)[C@@H](CCCNC(=[NH2+])N)N,C98216399,P156200357
c1ccc(cc1)C[C@@H](C(=O)N[C@@H](CO)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)[O-])NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCCN5,C98216474,P156200382
c1ccc2cc(ccc2c1)NC(=O)[C@@H](CCCC[NH3+])NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],C98216300,P156200399
c1ccc2cc(ccc2c1)NC(=O)[C@@H](CCCC[NH3+])NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],C98216302,P156200401
CC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,C98216835,P156201337
CC(=O)N[C@H](CC(=O)[O-])C(=O)N[C@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,C98216836,P156201338
C1C[C@H](N(C1)C(=O)[C@H](CSSC[C@@H](C(=O)[O-])N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]2CCC(=O)N2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N,C98216866,P156201871
CC(=O)N[C@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,C98216836,P156201933
CC(C)C[C@H](C(=O)NN)NC(=O)CNC(=O)[C@@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4c[nH]c[nH+]4)NC(=O)[C@@H]5CCC(=O)N5,C98220503,P156209469
CC(C)C[C@H](C(=O)NN)NC(=O)CNC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4c[nH]c[nH+]4)NC(=O)[C@@H]5CCC(=O)N5,C98220505,P156209471
CC(C)C[C@@H](C(=O)NN)NC(=O)CNC(=O)[C@@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4c[nH]cn4)NC(=O)[C@@H]5CCC(=O)N5,C98220502,P156209746
CC(C)C[C@H](C(=O)NN)NC(=O)CNC(=O)[C@@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4c[nH]cn4)NC(=O)[C@@H]5CCC(=O)N5,C98220503,P156209748
CC(C)C[C@@H](C(=O)NN)NC(=O)CNC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4c[nH]cn4)NC(=O)[C@@H]5CCC(=O)N5,C98220504,P156209750
CC(C)C[C@H](C(=O)NN)NC(=O)CNC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H](Cc4c[nH]cn4)NC(=O)[C@@H]5CCC(=O)N5,C98220505,P156209752
CCCC(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)N(C)CC(=O)N,C98224536,P156217277
CCCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)N(C)CC(=O)N,C98224536,P156217390
CCCCCCCCCCCCC/C=C/C(=O)N[C@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,C98229783,P156227778
CCCCCCCCCCCCC/C=C/C(=O)N[C@H]1[C@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,C98229785,P156227780
CC(C)C[C@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N1CCC[C@@H]1C(=O)NCC(=O)N)NC(=O)CNC(=O)[C@@H](Cc2ccc(cc2)O)NC(=O)[C@@H](CO)N,C04556735,P156228045
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(cc1)OS(=O)(=O)[O-])C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,C98229804,P156228080
CC(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(cc1)OS(=O)(=O)[O-])C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,C98229805,P156228081
