smiles,Kode-1,Kode-2
c1cc2c(nc1)n(c(n2)c3cccs3)[C@H]4CCN(C4)C(=O)NCc5ccco5,C65271723,P153698244
C1CC[C@H]2[C@@H](C1)C(=O)N(C2=O)CC(=O)Nc3nnc(s3)C45CC6CC(C4)CC(C6)C5,C69055349,P154771882
Cc1c(sc(n1)N(C[C@H]2CCCO2)C(=O)C)C(=O)/N=c/3\[nH]c4ccccc4s3,C44890217,P155580964
CC\1=NN(C(=O)/C1=C(/C)\N2CCN(CC2)c3ccc(cc3)F)c4[nH]c5ccccc5n4,C13856403,P155735923
CCC(C)(C)n1c(nnn1)[C@@H](c2cc3ccc(c(c3[nH]c2=O)C)C)[NH+]4CCC[C@@H](C4)C,C04161776,P05330170
Cc1ccc(c2c1cc(c(=O)[nH]2)[C@H](c3nnnn3C(C)(C)C)[NH+]4CCC(CC4)C)C,C04212375,P05477266
c1nc2c3c4c(c([nH+]c3sc2c(n1)NC[C@H]5CCCO5)N6CCOCC6)CCCC4,C02287312,P06967344
c1ccc(cc1)C[NH+]2CCC(CC2)/N=C/C3C(=O)NC(=O)N(C3=O)C4CCCCCC4,C05461490,P08298697
CCC(C)(C)n1c(nnn1)[C@H](c2cc3c(cc(cc3[nH]c2=O)C)C)[NH+]4CCCCC4,C00910264,P12898592
Cc1cc(c2cc(c(=O)[nH]c2c1)[C@@H](c3nnnn3C4CCCCC4)[NH+]5CCCC5)C,C00894561,P12899629
Cc1cc(c2cc(c(=O)[nH]c2c1)[C@@H](c3nnnn3C4CCCCC4)[NH+]5CCCCC5)C,C00894565,P12899659
CCC(C)(C)n1c(nnn1)[C@@H](c2cc3cc(cc(c3[nH]c2=O)C)C)[NH+]4CCC[C@H](C4)C,C12711772,P18688538
CC(C)(C)c1cn2c([nH+]1)sc(n2)N3CCC(CC3)NS(=O)(=O)c4ccccc4,C12823512,P18837393
c1ccc(cc1)C[NH+]2CCN(CC2)c3cnn(c(=O)c3Cl)c4[nH]c5ccccc5n4,C08216179,P19717684
COc1ccc(cc1)/N=C\2/N(Cc3cc4cc5c(cc4[nH+]c3S2)OCO5)CCCO,C13511151,P20823542
c1cc[nH+]c(c1)N2CCN(CC2)C(=O)COC(=O)c3ccc4c(c3)c5c([nH]4)CCCC5,C16251752,P24595951
Cc1ccc2cc(c(nc2c1)O)[C@H](c3nnnn3C(C)(C)C)[NH+]4CCCCCC4,C08578927,P27117560
CCc1cc(no1)C(=O)N2CCCC[C@H]2c3cc4n([nH+]3)[C@H](C[C@H](N4)CC)C(F)(F)F,C19522655,P28903006
c1ccc(cc1)CCN2CNC3=[NH+][C@@H](n4c5ccccc5nc4N3C2)c6ccco6,C20101804,P29913485
c1cc2c(cc1CN3CC[NH+](CC3)[C@@H]4CCCN(C4)C(=O)NC5CCCCC5)OCO2,C20773959,P30997263
c1ccc(c(c1)C[NH+]2CCC(CC2)CNc3c4ccccc4c5nnnn5n3)Cl,C21777459,P32419215
CC(C)c1c[nH+]c2c(c1NOCc3ccc(c(c3)Cl)Cl)c(=O)n(c(=O)n2C)C,C12310010,P35544895
COCCCN1CNC2=N[C@H](n3c4ccccc4[nH+]c3N2C1)c5cc(ccc5F)Cl,C31811061,P46857151
CC1=C([C@H](N2C(=N1)[NH+]=CN2)c3cccc(c3Cl)Cl)C(=O)OC[C@H]4CCCO4,C04987022,P50587352
Cc1ccc(cc1)c2cs/c(=N\C(=O)C[NH+]3CCN(CC3)c4ncccn4)/[nH]2,C35802435,P53142923
CN1C2=C([C@@H](NC1=O)c3cccc(c3)Oc4ccccc4)C(=O)N(C2)Cc5ccc[nH+]c5,C35834801,P53206569
