"AverageShortestPathLength","BetweennessCentrality","cl1.Status","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.278787878787879","0.0","Outlier","0.3049907578558225","1.0","2","5","false","UBXN4","14.5","0","2","0","0.9626428216592151","false","0","UBXN4","0","0.725"
"3.878787878787879","0.0","Outlier","0.2578125","0.0","1","5","false","TMEM59","4.0","0","1","0","0.9528067560854446","false","0","TMEM59","0","0.0"
"3.315151515151515","0.0","Outlier","0.3016453382084095","0.0","1","5","false","RNF103","18.0","0","1","0","0.9620466964729261","false","0","RNF103","0","0.0"
"3.084848484848485","0.0","Outlier","0.3241650294695481","0.0","1","4","false","SH3PXD2A","31.0","0","1","0","0.9658221559860904","false","0","SH3PXD2A","0","0.0"
"3.036363636363636","0.0","Outlier","0.3293413173652695","0.0","1","5","false","TRIM11","30.0","0","1","0","0.9666169895678092","false","0","TRIM11","0","0.0"
"4.36969696969697","0.0","Outlier","0.22884882108183077","0.0","1","6","false","PPP4C","2.0","0","1","0","0.9447590660705415","false","0","PPP4C","0","0.0"
"3.375757575757576","0.012121212121212121","Outlier","0.296229802513465","0.0","2","5","false","PPP2R2A","5.5","0","2","0","0.9610531544957774","false","0","PPP2R2A","1620","0.5"
"3.012121212121212","0.0","Outlier","0.3319919517102616","1.0","2","4","false","PLCD1","18.5","0","2","0","0.9670144063586686","false","0","PLCD1","0","0.5285714285714286"
"2.8848484848484848","8.525346369353151E-5","Cluster","0.34663865546218486","0.0","2","5","false","SERPINI1","24.0","0","2","0","0.9691008445106806","false","0","SERPINI1","26","0.5609756097560976"
"3.466666666666667","0.0","Cluster","0.28846153846153844","0.0","1","6","false","PAX4","14.0","0","1","0","0.9595628415300547","false","0","PAX4","0","0.0"
"3.4909090909090907","1.0792714922426674E-4","Outlier","0.28645833333333337","0.0","2","6","false","SLC22A4","6.5","0","2","0","0.9591654247391952","false","0","SLC22A4","16","0.55"
"3.309090909090909","0.0","Outlier","0.3021978021978022","1.0","2","5","false","SNCG","10.0","0","2","0","0.9621460506706407","false","0","SNCG","0","0.5555555555555556"
"2.606060606060606","0.002887803613684691","Cluster","0.38372093023255816","0.26666666666666666","6","4","false","PLD1","20.166666666666668","0","6","0","0.9736711376055638","false","0","PLD1","398","0.2800925925925926"
"3.1272727272727274","0.0016250665605042278","Outlier","0.3197674418604651","0.3333333333333333","4","5","false","QPCT","8.5","0","4","0","0.9651266766020865","false","0","QPCT","280","0.358695652173913"
"3.036363636363636","0.0","Outlier","0.3293413173652695","0.0","1","5","false","KCNIP3","30.0","0","1","0","0.9666169895678092","false","0","KCNIP3","0","0.0"
"2.9393939393939394","0.0024663592775901392","Outlier","0.3402061855670103","0.0","3","5","false","NFKBIL1","19.0","0","3","0","0.968206656731247","false","0","NFKBIL1","438","0.4"
"3.187878787878788","1.0416213787806327E-4","Outlier","0.31368821292775667","0.0","2","5","false","SORBS1","12.5","0","2","0","0.9641331346249379","false","0","SORBS1","16","0.5227272727272727"
"2.521212121212121","0.013934504468190487","Cluster","0.3966346153846154","0.5111111111111111","10","5","false","PTPN22","19.4","0","10","0","0.9750620963735718","false","0","PTPN22","2102","0.24"
"3.212121212121212","9.299729436382284E-4","Outlier","0.3113207547169812","0.0","2","5","false","LYPLA1","11.0","0","2","0","0.9637357178340785","false","0","LYPLA1","120","0.5"
"3.4606060606060605","2.1030032583306012E-4","Outlier","0.28896672504378285","0.0","2","5","false","GTF2H1","5.0","0","2","0","0.9596621957277695","false","0","GTF2H1","16","0.5"
